id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
10080979,One Bedroom - Gramery Park,51728257,Joseph,Manhattan,Gramercy,Entire home/apt
10082057,"Victorian Home, Welcoming Comfort",51734800,Laura,Brooklyn,Flatbush,Private room
10083580,Cozy apartment in Brooklyn,22068394,Julian,Brooklyn,Bedford-Stuyvesant,Private room
10083682,Beautiful Bedford apartment,51742426,Miri,Brooklyn,Williamsburg,Entire home/apt
10083881,Well Equipped One-Bedroom Apartment,51743699,Oliver,Manhattan,Morningside Heights,Entire home/apt
10083973,Williamsburg Getaway,3870120,Sawyer,Brooklyn,Williamsburg,Private room
10084380,Charming Williamsburg apartment,5882165,Pavel,Brooklyn,Williamsburg,Entire home/apt
10085449,Clean room in a nice apartment,51749922,Marianne,Manhattan,Kips Bay,Private room
10085478,Deluxe Brooklyn Loft,47554473,Henry Norman,Brooklyn,Greenpoint,Entire home/apt
10086029,West Village Duplex with Backyard!,2072706,Umang,Manhattan,West Village,Entire home/apt
